Zone,Disponibilité alimentaire en quantité (kg/personne/an),%_Exportations,%_Nourriture,%_Production,Rapport Importation/Pop,Rapport Exportation/Pop,Rapport Production/Pop,Evo%_Import/Pop,Evo%_Export/Pop,distance,Political_Stability,PIB/Hab
Suède,16.6,9.54356846473029,68.04979253112033,65.14522821576763,8.480654415755604,2.322083947171177,15.850746943733684,-0.16564099220055084,-2.9686997669518433,1882.79,0.98,53788.877499
Suisse,15.72,2.8169014084507045,93.66197183098592,64.08450704225352,6.03136023493449,0.4730478615634894,10.761838850569385,8.029405477728574,-1.6280250927528357,464.63,1.26,83353.597567
Suriname,31.06,17.857142857142858,64.28571428571429,35.714285714285715,31.551492035001125,8.764303343055866,17.528606686111733,-0.41625239314406315,-0.02765999657276552,7297.4,0.13,5774.654844
Tchad,0.45,0.0,100.0,85.71428571428571,0.0665922919555246,0.0,0.3995537517331476,-0.09378742417152353,0.0,3750.26,-1.29,884.869685
Tchéquie,21.96,9.67741935483871,83.87096774193549,58.422939068100355,10.90119625592776,2.5373474043969786,15.318060256174354,-6.3229796239264004,-41.58234452754027,1061.95,1.0,20759.909712
Thaïlande,12.95,47.43742550655543,53.3969010727056,99.880810488677,0.028897637488095977,11.501259720262201,24.216220215024432,-0.09951551011049276,-0.21483970841377698,9395.15,-0.75,6436.789649
Togo,7.06,0.0,96.42857142857143,71.42857142857143,2.0783339659262343,0.0,5.195834914815586,0.2342045256169598,0.0,4183.73,-0.88,813.395007
Trinité-et-Tobago,54.54,0.0,89.28571428571429,72.61904761904762,16.617788692534063,0.0,44.07326566280773,0.15685664801752353,0.07466250274519837,7119.03,0.28,16094.666782
Tunisie,17.03,1.8779342723004695,91.54929577464789,100.0,0.0,0.34985087169280504,18.62955891764187,0.14223948827435606,0.009751427567550763,1505.45,-1.02,3569.718839
Turquie,20.64,19.544419134396353,76.26423690205011,99.86332574031891,0.03698386702080774,5.288692983975507,27.022878836536854,0.48439087448574014,-4.9757184736270545,2798.73,-1.79,10464.007788
Ukraine,22.62,20.495495495495494,75.52552552552552,90.91591591591592,2.719852352927412,6.136526383051104,27.221001647893356,-8.51932057795186,-0.005320542828400221,2182.85,-1.87,2510.017662
Uruguay,9.12,8.333333333333332,86.11111111111111,91.66666666666666,0.8729454138503265,0.8729454138503265,9.602399552353592,-0.7555239482261271,0.6493436774671579,10510.5,1.05,18769.787523
Venezuela (République bolivarienne du),20.28,0.0,95.36,96.0,0.8502682970595273,0.0,20.406439129428655,3.850105120730859,0.025431916495961104,7868.97,-1.25,8112.053374
Viet Nam,12.33,0.0827129859387924,96.44334160463193,75.93052109181141,3.076088865691491,0.010570752115778318,9.703950442284496,-0.14833762770382464,-0.045287719122157455,10072.58,0.29,2992.071534
Yémen,8.53,0.0,96.34146341463415,68.29268292682927,2.8022456334276864,0.0,6.035605979690401,0.14749870318654246,0.0,5465.33,-2.94,612.353054
Zambie,3.42,1.639344262295082,95.08196721311475,80.32786885245902,0.712014092657598,0.05933450772146649,2.9073908783518583,0.06830538200078706,0.029504489142055945,7081.13,0.15,1495.437665
